Código,Caja,Anaquel,Nivel,Sede
000000JD,C0001,11,3,PATRIOTISMO
000001JD,C0001,11,3,PATRIOTISMO
000002JD,C0001,11,3,PATRIOTISMO
000003JD,C0001,11,3,PATRIOTISMO
000004JD,C0001,11,3,PATRIOTISMO
000005JD,C0001,11,3,PATRIOTISMO
000006JD,C0001,11,3,PATRIOTISMO
000007JD,C0001,11,3,PATRIOTISMO
000008JD,C0001,11,3,PATRIOTISMO
000009JD,C0001,11,3,PATRIOTISMO
000010JD,C0001,11,3,PATRIOTISMO
000011JD,C0001,11,3,PATRIOTISMO
000012JD,C0001,11,3,PATRIOTISMO
000013JD,C0001,11,3,PATRIOTISMO
000014JD,C0001,11,3,PATRIOTISMO
000015JD,C0001,11,3,PATRIOTISMO
000016JD,C0001,11,3,PATRIOTISMO
000017JD,C0001,11,3,PATRIOTISMO
000018JD,C0001,11,3,PATRIOTISMO
000019JD,C0001,11,3,PATRIOTISMO
021568JD,C0090,2,2,TOLUCA
021569JD,C0091,2,1,TOLUCA
021570JD,C0091,2,1,TOLUCA
021571JD,C0093,2,1,TOLUCA
021572JD,C0091,2,1,TOLUCA
021573JD,C0090,2,2,TOLUCA
021575JD,C0091,2,1,TOLUCA
021576JD,C0025,9,3,TOLUCA
021949JD,C0060,6,1,TOLUCA
022000JD,C0023,10,1,TOLUCA
022001JD,C0088,2,2,TOLUCA
022002JD,C0088,2,2,TOLUCA
022003JD,C0093,2,1,TOLUCA
022004JD,C0049,6,3,TOLUCA
022006JD,C0060,6,1,TOLUCA
022007JD,C0085,2,3,TOLUCA
022009JD,C0048,7,1,TOLUCA
022010JD,C0090,2,2,TOLUCA
022013JD,C0086,2,3,TOLUCA
022015JD,C0079,4,1,TOLUCA
022017JD,C0093,2,1,TOLUCA
022018JD,C0024,10,1,TOLUCA
022019JD,C0049,6,3,TOLUCA
022020JD,C0083,4,1,TOLUCA
022021JD,C0084,4,1,TOLUCA
022023JD,C0085,2,3,TOLUCA
022025JD,C0085,2,3,TOLUCA
022026JD,C0022,10,1,TOLUCA
022037JD,C0043,7,1,TOLUCA
022038JD,C0078,4,2,TOLUCA
022039JD,C0079,4,1,TOLUCA
022040JD,C0043,7,1,TOLUCA
022041JD,C0078,4,2,TOLUCA
022042JD,C0078,4,2,TOLUCA
022043JD,C0093,2,1,TOLUCA
022044JD,C0025,9,3,TOLUCA
022045JD,C0024,10,1,TOLUCA
022046JD,C0085,2,3,TOLUCA
022047JD,C0085,2,3,TOLUCA
022049JD,C0049,6,3,TOLUCA
022050JD,C0041,7,2,TOLUCA
022055JD,C0081,4,1,TOLUCA
022056JD,C0079,4,1,TOLUCA
022057JD,C0079,4,1,TOLUCA
022058JD,C0079,4,1,TOLUCA
022059JD,C0080,4,1,TOLUCA
022060JD,C0080,4,1,TOLUCA
022061JD,C0093,2,1,TOLUCA
022062JD,C0060,6,1,TOLUCA
022064JD,C0033,9,1,TOLUCA
022067JD,C0035,9,1,TOLUCA
022068JD,C0035,9,1,TOLUCA
022069JD,C0035,9,1,TOLUCA
022070JD,C0085,2,3,TOLUCA
022073JD,C0035,9,1,TOLUCA
022074JD,C0093,2,1,TOLUCA
022075JD,C0087,2,3,TOLUCA
022076JD,C0020,10,1,TOLUCA
022077JD,C0036,9,1,TOLUCA
022078JD,C0079,4,1,TOLUCA
022079JD,C0025,9,3,TOLUCA
022090JD,C0023,10,1,TOLUCA
022093JD,C0090,2,2,TOLUCA
022094JD,C0029,9,2,TOLUCA
022096JD,C0029,9,2,TOLUCA
022099JD,C0036,9,1,TOLUCA
022100JD,C0036,9,1,TOLUCA
022103JD,C0049,6,3,TOLUCA
022104JD,C0028,9,2,TOLUCA
022106JD,C0028,9,2,TOLUCA
022107JD,C0050,6,3,TOLUCA
022109JD,C0025,9,3,TOLUCA
022110JD,C0029,9,2,TOLUCA
022111JD,C0036,9,1,TOLUCA
022112JD,C0090,2,2,TOLUCA
022113JD,C0049,6,3,TOLUCA
022114JD,C0090,2,2,TOLUCA
022115JD,C0089,2,2,TOLUCA
022116JD,C0041,7,2,TOLUCA
022119JD,C0089,2,2,TOLUCA
022120JD,C0035,9,1,TOLUCA
022121JD,C0089,2,2,TOLUCA
022122JD,C0043,7,1,TOLUCA
022123JD,C0049,6,3,TOLUCA
022127JD,C0035,9,1,TOLUCA
022128JD,C0089,2,2,TOLUCA
022129JD,C0090,2,2,TOLUCA
022130JD,C0090,2,2,TOLUCA
022131JD,C0078,4,2,TOLUCA
022132JD,C0084,4,1,TOLUCA
022133JD,C0033,9,1,TOLUCA
022134JD,C0023,10,1,TOLUCA
022136JD,C0084,4,1,TOLUCA
022138JD,C0084,4,1,TOLUCA
022141JD,C0084,4,1,TOLUCA
022142JD,C0084,4,1,TOLUCA
022145JD,C0035,9,1,TOLUCA
022146JD,C0081,4,1,TOLUCA
022147JD,C0081,4,1,TOLUCA
022148JD,C0091,2,1,TOLUCA
022149JD,C0049,6,3,TOLUCA
022150JD,C0083,4,1,TOLUCA
022151JD,C0078,4,2,TOLUCA
022153JD,C0024,10,1,TOLUCA
022163JD,C0087,2,3,TOLUCA
022164JD,C0093,2,1,TOLUCA
022165JD,C0049,6,3,TOLUCA
022166JD,C0080,4,1,TOLUCA
022167JD,C0028,9,2,TOLUCA
022168JD,C0085,2,3,TOLUCA
022169JD,C0085,2,3,TOLUCA
022172JD,C0081,4,1,TOLUCA
022173JD,C0086,2,3,TOLUCA
022174JD,C0085,2,3,TOLUCA
022175JD,C0043,7,1,TOLUCA
022176JD,C0043,7,1,TOLUCA
022177JD,C0081,4,1,TOLUCA
022178JD,C0081,4,1,TOLUCA
022179JD,C0080,4,1,TOLUCA
022190JD,C0085,2,3,TOLUCA
022191JD,C0081,4,1,TOLUCA
022192JD,C0079,4,1,TOLUCA
022193JD,C0078,4,2,TOLUCA
022194JD,C0078,4,2,TOLUCA
022195JD,C0090,2,2,TOLUCA
022196JD,C0035,9,1,TOLUCA
022209JD,C0088,2,2,TOLUCA
022210JD,C0088,2,2,TOLUCA
022211JD,C0088,2,2,TOLUCA
022212JD,C0085,2,3,TOLUCA
022213JD,C0036,9,1,TOLUCA
022214JD,C0036,9,1,TOLUCA
022218JD,C0085,2,3,TOLUCA
022219JD,C0030,9,2,TOLUCA
022221JD,C0086,2,3,TOLUCA
022222JD,C0084,4,1,TOLUCA
022225JD,C0024,10,1,TOLUCA
022226JD,C0090,2,2,TOLUCA
022232JD,C0087,2,3,TOLUCA
022234JD,C0029,9,2,TOLUCA
022242JD,C0029,9,2,TOLUCA
022243JD,C0035,9,1,TOLUCA
022244JD,C0043,7,1,TOLUCA
022245JD,C0043,7,1,TOLUCA
022246JD,C0043,7,1,TOLUCA
022247JD,C0044,7,1,TOLUCA
022248JD,C0035,9,1,TOLUCA
022249JD,C0044,7,1,TOLUCA
022250JD,C0026,9,3,TOLUCA
022251JD,C0025,9,3,TOLUCA
022257JD,C0050,6,3,TOLUCA
022259JD,C0049,6,3,TOLUCA
022262JD,C0026,9,3,TOLUCA
022263JD,C0078,4,2,TOLUCA
022264JD,C0084,4,1,TOLUCA
022265JD,C0026,9,3,TOLUCA
022266JD,C0084,4,1,TOLUCA
